Title,Dist,budget,relDate,year,month,day,Recaudado,ganancia
Howard the Duck,Universal Pictures,37,1986-08-01,1986,8,1,37.96,0.96
Blade,New Line Cinema,45,1998-08-21,1998,8,21,131.18,86.18
X-Men,20th Century Fox,75,2000-07-14,2000,7,14,296.34,221.34
Blade II,New Line Cinema,54,2002-03-22,2002,3,22,155.01,101.01
Spider-Man,Sony Pictures,139,2002-05-03,2002,5,3,821.71,682.71
Daredevil,20th Century Fox,78,2003-02-14,2003,2,14,179.18,101.18
X2,20th Century Fox,110,2003-05-02,2003,5,2,407.71,297.71
Hulk,Universal Pictures,137,2003-06-20,2003,6,20,245.36,108.36
The Punisher,Lionsgate Films,33,2004-04-16,2004,4,16,54.7,21.7
Spider-Man 2,Sony Pictures,200,2004-06-30,2004,6,30,788.98,588.98
Blade: Trinity,New Line Cinema,65,2004-12-08,2004,12,8,128.91,63.91
Elektra,20th Century Fox,43,2005-01-14,2005,1,14,56.68,13.68
Fantastic Four,20th Century Fox,100,2005-07-08,2005,7,8,330.58,230.58
X-Men: The Last Stand,20th Century Fox,210,2006-05-26,2006,5,26,459.36,249.36
Ghost Rider,Sony Pictures,110,2007-02-16,2007,2,16,228.74,118.74
Spider-Man 3,Sony Pictures,258,2007-05-04,2007,5,4,890.87,632.87
Fantastic Four: Rise of the Silver Surfer,20th Century Fox,130,2007-06-15,2007,6,15,301.91,171.91
Iron Man,Paramount Pictures,140,2008-05-02,2008,5,2,585.17,445.17
The Incredible Hulk,Universal Pictures,150,2008-06-13,2008,6,13,263.43,113.43
Punisher: War Zone,Lionsgate Films,35,2008-12-05,2008,12,5,10.1,-24.9
X-Men Origins: Wolverine,20th Century Fox,150,2009-05-01,2009,5,1,373.06,223.06
Iron Man 2,Paramount Pictures,200,2010-05-07,2010,5,7,623.93,423.93
Thor,Paramount Pictures,150,2011-05-06,2011,5,6,449.33,299.33
X-Men: First Class,20th Century Fox,160,2011-06-03,2011,6,3,353.62,193.62
Captain America: The First Avenger,Paramount Pictures,140,2011-07-22,2011,7,22,370.57,230.57
Ghost Rider: Spirit of Vengeance,Sony Pictures,57,2012-02-17,2012,2,17,132.56,75.56
The Avengers,Walt Disney Studios Motion Pictures,220,2012-05-04,2012,5,4,1518.81,1298.81
The Amazing Spider-Man,Sony Pictures,230,2012-07-03,2012,7,3,757.93,527.93
Iron Man 3,Walt Disney Studios Motion Pictures,200,2013-05-03,2013,5,3,1214.81,1014.81
The Wolverine,20th Century Fox,120,2013-07-26,2013,7,26,414.83,294.83
Thor: The Dark World,Walt Disney Studios Motion Pictures,170,2013-11-08,2013,11,8,644.57,474.57
Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,170,2014-04-04,2014,4,4,714.26,544.26
The Amazing Spider-Man 2,Sony Pictures,255,2014-05-02,2014,5,2,708.98,453.98
X-Men: Days of Future Past,20th Century Fox,200,2014-05-23,2014,5,23,747.86,547.86
Guardians of the Galaxy,Walt Disney Studios Motion Pictures,170,2014-08-01,2014,8,1,773.33,603.33
Big Hero 6,Walt Disney Studios Motion Pictures,165,2014-11-07,2014,11,7,657.83,492.83
Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,250,2015-05-01,2015,5,1,1405.4,1155.4
Ant-Man,Walt Disney Studios Motion Pictures,130,2015-07-17,2015,7,17,519.31,389.31
Fantastic Four,20th Century Fox,120,2015-08-07,2015,8,7,167.88,47.88
Deadpool,20th Century Fox,58,2016-02-12,2016,2,12,783.11,725.11
Captain America: Civil War,Walt Disney Studios Motion Pictures,250,2016-05-06,2016,5,6,1153.3,903.3
X-Men: Apocalypse,20th Century Fox,178,2016-05-27,2016,5,27,543.93,365.93
Doctor Strange,Walt Disney Studios Motion Pictures,165,2016-11-04,2016,11,4,677.72,512.72
Logan,20th Century Fox,97,2017-03-03,2017,3,3,616.8,519.8
Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,200,2017-05-05,2017,5,5,863.76,663.76
Spider-Man: Homecoming,Sony Pictures,175,2017-07-07,2017,7,7,880.17,705.17
Thor: Ragnarok,Walt Disney Studios Motion Pictures,180,2017-11-03,2017,11,3,853.98,673.98
Black Panther,Walt Disney Studios Motion Pictures,200,2018-02-16,2018,2,16,1346.91,1146.91
Avengers: Infinity War,Walt Disney Studios Motion Pictures,316,2018-04-27,2018,4,27,2048.36,1732.36
Deadpool 2,20th Century Fox,110,2018-05-18,2018,5,18,785.05,675.05
Ant-Man and the Wasp,Walt Disney Studios Motion Pictures,162,2018-07-06,2018,7,6,622.67,460.67
Venom,Sony Pictures,100,2018-10-05,2018,10,5,855.01,755.01
Spider-Man: Into the Spider-Verse,Sony Pictures,90,2018-12-14,2018,12,14,375.54,285.54
Captain Marvel,Walt Disney Studios Motion Pictures,152,2019-03-08,2019,3,8,1128.27,976.27
Avengers: Endgame,Walt Disney Studios Motion Pictures,356,2019-04-26,2019,4,26,2797.8,2441.8
Dark Phoenix,20th Century Fox,200,2019-06-07,2019,6,7,252.44,52.44
Spider-Man: Far From Home,Sony Pictures,160,2019-07-02,2019,7,2,1131.93,971.93
The New Mutants,20th Century Studios,67,2020-08-28,2020,8,28,48.68,-18.32
Black Widow,Walt Disney Studios Motion Pictures,200,2021-07-09,2021,7,9,379.63,179.63
Shang-Chi and the Legend of the Ten Rings,Walt Disney Studios Motion Pictures,150,2021-09-03,2021,9,3,432.24,282.24
Venom: Let There Be Carnage,Sony Pictures,110,2021-10-01,2021,10,1,502.05,392.05
Eternals,Walt Disney Studios Motion Pictures,200,2021-11-05,2021,11,5,402.06,202.06
Spider-Man: No Way Home,Sony Pictures,200,2021-12-17,2021,12,17,1852.42,1652.42
